genre,movie_count,avg_actual_rating,avg_predicted_rating,avg_error,total_votes
Drama,8609,6.199605064467418,6.19683888667536,0.5889462985214023,77072937
Comedy,5340,5.816179775280899,5.822576086340569,0.6793381466364119,46615957
Action,2488,5.5475482315112545,5.609503511698396,0.678467063777367,51595769
Romance,2400,6.082708333333334,6.11022889964474,0.5926411439229562,20180353
Thriller,2291,5.428721082496726,5.443364290874769,0.644562580170719,24582338
Crime,2040,5.932892156862745,5.962626801676931,0.5834800559462135,33860735
Horror,1875,4.729653333333333,4.797657874472111,0.7150740579658065,14091577
Adventure,1364,5.790762463343109,5.84034954700595,0.6529356407598387,40349611
Mystery,941,5.688735387885229,5.71961980861532,0.5997778483750569,12259261
Family,759,5.877206851119895,5.8781412326361835,0.7430439588287189,8006806
Fantasy,729,5.571604938271605,5.729981024111908,0.7480385722244108,14391728
Sci-Fi,718,5.031476323119778,5.0972676113156865,0.77471567496082,17365981
Music,548,6.232846715328468,6.214300369534603,0.6485860281970628,3900397
Biography,431,6.668677494199535,6.592286002052298,0.4665515242590041,11809982
History,406,6.4706896551724125,6.447254870856479,0.5674125891438611,3693551
Animation,403,6.287593052109181,6.309869659372473,0.6406382413883694,9132048
War,359,6.449582172701949,6.422063873890502,0.5288123149952906,3069730
Musical,284,6.185563380281691,6.243259275993062,0.6591642260189836,1696862
Western,275,5.859636363636364,5.901387306490202,0.566129580471107,1666997
Sport,178,5.966853932584269,6.04696461989121,0.7255657111462124,1551642
Film-Noir,40,6.584999999999999,6.2948236957800034,0.3637985293142303,64718
Adult,1,4.8,5.374891165788131,0.5748911657881308,1253
